Round,Odd Score,Even Score,Dealer,Called By,Alone,Trump,Trick,Odd Tricks,Even Tricks,Player,Card 1 Value,Card 1 Suit,Card 2 Value,Card 2 Suit,Card 3 Value,Card 3 Suit,Card 4 Value,Card 4 Suit,Card 5 Value,Card 5 Suit,Played 1 Value,Played 1 Suit,Played 2 Value,Played 2 Suit,Played 3 Value,Played 3 Suit,Selected Value,Selected Suit,Winner
2,0,1,2,3,0,4,1,0,0,4,14,2,11,2,10,3,16,4,10,4,13,1,0,0,0,0,10,4,0
2,0,1,2,3,0,4,1,0,0,1,13,2,14,3,13,3,16,4,9,4,13,1,10,4,0,0,16,4,1
2,0,1,2,3,0,4,1,1,0,2,14,1,11,1,10,1,12,2,9,2,13,1,10,4,16,4,10,1,0
2,0,1,2,3,0,4,2,1,0,1,13,2,14,3,13,3,0,0,9,4,0,0,0,0,0,0,13,3,1
2,0,1,2,3,0,4,2,1,0,2,14,1,11,1,0,0,12,2,9,2,13,3,0,0,0,0,14,1,0
2,0,1,2,3,0,4,2,1,0,3,0,0,10,2,11,3,14,4,13,4,13,3,14,1,0,0,10,2,0
2,0,1,2,3,0,4,2,2,0,4,14,2,11,2,10,3,16,4,0,0,13,3,14,1,10,2,10,3,0
2,0,1,2,3,0,4,3,2,0,1,13,2,14,3,0,0,0,0,9,4,0,0,0,0,0,0,14,3,0
2,0,1,2,3,0,4,3,2,0,2,0,0,11,1,0,0,12,2,9,2,14,3,0,0,0,0,9,2,0
2,0,1,2,3,0,4,3,2,0,3,0,0,0,0,11,3,14,4,13,4,14,3,9,2,0,0,13,4,0
2,0,1,2,3,0,4,3,2,1,4,14,2,11,2,0,0,16,4,0,0,14,3,9,2,13,4,16,4,4
2,0,1,2,3,0,4,4,2,1,4,14,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0
2,0,1,2,3,0,4,4,2,1,1,13,2,0,0,0,0,0,0,9,4,14,2,0,0,0,0,13,2,0
2,0,1,2,3,0,4,4,2,1,2,0,0,11,1,0,0,12,2,0,0,14,2,13,2,0,0,12,2,0
2,0,1,2,3,0,4,4,3,1,3,0,0,0,0,11,3,14,4,0,0,14,2,13,2,12,2,14,4,3
2,0,1,2,3,0,4,5,3,1,3,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,11,3,0
2,0,1,2,3,0,4,5,3,1,4,0,0,11,2,0,0,0,0,0,0,11,3,0,0,0,0,11,2,0
2,0,1,2,3,0,4,5,3,1,1,0,0,0,0,0,0,0,0,9,4,11,3,11,2,0,0,9,4,1
2,1,1,2,3,0,4,5,4,1,2,0,0,11,1,0,0,0,0,0,0,11,3,11,2,9,4,11,1,0
3,1,1,3,1,1,1,1,0,0,4,13,1,9,1,13,4,12,4,10,4,0,0,0,0,0,0,13,4,0
3,1,1,3,1,1,1,1,0,0,1,14,1,16,1,14,2,11,2,14,4,13,4,0,0,0,0,14,4,1
3,1,1,3,1,1,1,1,1,0,2,10,1,13,2,10,2,12,3,9,3,13,4,14,4,0,0,9,3,0
3,1,1,3,1,1,1,2,1,0,1,14,1,16,1,14,2,11,2,0,0,0,0,0,0,0,0,16,1,1
3,1,1,3,1,1,1,2,1,0,2,10,1,13,2,10,2,12,3,0,0,16,1,0,0,0,0,10,1,0
3,1,1,3,1,1,1,2,2,0,4,13,1,9,1,0,0,12,4,10,4,16,1,10,1,0,0,9,1,0
3,1,1,3,1,1,1,3,2,0,1,14,1,16,1,14,2,0,0,0,0,0,0,0,0,0,0,11,2,1
3,1,1,3,1,1,1,3,2,0,2,0,0,13,2,10,2,12,3,0,0,11,2,0,0,0,0,13,2,0
3,1,1,3,1,1,1,3,3,0,4,13,1,0,0,0,0,12,4,10,4,11,2,13,2,0,0,13,1,0
3,1,1,3,1,1,1,4,3,0,1,14,1,0,0,14,2,0,0,0,0,0,0,0,0,0,0,14,1,1
3,1,1,3,1,1,1,4,3,0,2,0,0,0,0,10,2,12,3,0,0,14,1,0,0,0,0,10,2,0
3,1,1,3,1,1,1,4,4,0,4,0,0,0,0,0,0,12,4,10,4,14,1,10,2,0,0,10,4,0
3,1,1,3,1,1,1,5,4,0,1,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,14,2,1
3,1,1,3,1,1,1,5,4,0,2,0,0,0,0,0,0,12,3,0,0,14,2,0,0,0,0,12,3,0
3,5,1,3,1,1,1,5,5,0,4,0,0,0,0,0,0,12,4,0,0,14,2,12,3,0,0,12,4,0
4,5,1,4,4,0,1,1,0,0,1,13,2,9,2,14,3,13,4,9,4,0,0,0,0,0,0,14,3,1
4,5,1,4,4,0,1,1,0,0,2,13,1,12,1,11,2,15,3,14,4,14,3,0,0,0,0,15,3,0
4,5,1,4,4,0,1,1,0,0,3,9,1,12,2,13,3,10,3,9,3,14,3,15,3,0,0,9,3,0
4,5,1,4,4,0,1,1,1,0,4,14,1,10,1,12,3,12,4,11,4,14,3,15,3,9,3,12,3,0
4,5,1,4,4,0,1,2,1,0,1,13,2,9,2,0,0,13,4,9,4,0,0,0,0,0,0,13,4,0
4,5,1,4,4,0,1,2,1,0,2,13,1,12,1,11,2,0,0,14,4,13,4,0,0,0,0,14,4,0
4,5,1,4,4,0,1,2,1,0,3,9,1,12,2,13,3,10,3,0,0,13,4,14,4,0,0,9,1,3
4,5,1,4,4,0,1,2,2,0,4,14,1,10,1,0,0,12,4,11,4,13,4,14,4,9,1,11,4,0
4,5,1,4,4,0,1,3,2,0,3,0,0,12,2,13,3,10,3,0,0,0,0,0,0,0,0,13,3,0
4,5,1,4,4,0,1,3,2,0,4,14,1,10,1,0,0,12,4,0,0,13,3,0,0,0,0,10,1,0
4,5,1,4,4,0,1,3,2,0,1,13,2,9,2,0,0,0,0,9,4,13,3,10,1,0,0,9,4,0
4,5,1,4,4,0,1,3,2,1,2,13,1,12,1,11,2,0,0,0,0,13,3,10,1,9,4,12,1,2
4,5,1,4,4,0,1,4,2,1,2,13,1,0,0,11,2,0,0,0,0,0,0,0,0,0,0,13,1,0
4,5,1,4,4,0,1,4,2,1,3,0,0,12,2,0,0,10,3,0,0,13,1,0,0,0,0,10,3,0
4,5,1,4,4,0,1,4,2,1,4,14,1,0,0,0,0,12,4,0,0,13,1,10,3,0,0,14,1,4
4,5,1,4,4,0,1,4,2,2,1,13,2,9,2,0,0,0,0,0,0,13,1,10,3,14,1,9,2,0
4,5,1,4,4,0,1,5,2,2,4,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,12,4,4
4,5,1,4,4,0,1,5,2,2,1,13,2,0,0,0,0,0,0,0,0,12,4,0,0,0,0,13,2,0
4,5,1,4,4,0,1,5,2,2,2,0,0,0,0,11,2,0,0,0,0,12,4,13,2,0,0,11,2,0
4,5,2,4,4,0,1,5,2,3,3,0,0,12,2,0,0,0,0,0,0,12,4,13,2,11,2,12,2,0
5,5,2,1,1,0,4,1,0,0,2,9,1,14,3,11,3,12,4,10,4,0,0,0,0,0,0,9,1,0
5,5,2,1,1,0,4,1,0,0,3,14,1,10,1,12,3,9,3,9,4,9,1,0,0,0,0,14,1,3
5,5,2,1,1,0,4,1,0,0,4,13,1,11,1,14,2,13,2,16,4,9,1,14,1,0,0,11,1,0
5,5,2,1,1,0,4,1,1,0,1,12,2,13,3,10,3,14,4,13,4,9,1,14,1,11,1,10,3,0
5,5,2,1,1,0,4,2,1,0,3,0,0,10,1,12,3,9,3,9,4,0,0,0,0,0,0,12,3,0
5,5,2,1,1,0,4,2,1,0,4,13,1,0,0,14,2,13,2,16,4,12,3,0,0,0,0,13,2,0
5,5,2,1,1,0,4,2,1,0,1,12,2,13,3,0,0,14,4,13,4,12,3,13,2,0,0,13,3,0
5,5,2,1,1,0,4,2,1,1,2,0,0,14,3,11,3,12,4,10,4,12,3,13,2,13,3,14,3,2
5,5,2,1,1,0,4,3,1,1,2,0,0,0,0,11,3,12,4,10,4,0,0,0,0,0,0,10,4,0
5,5,2,1,1,0,4,3,1,1,3,0,0,10,1,0,0,9,3,9,4,10,4,0,0,0,0,9,4,0
5,5,2,1,1,0,4,3,1,1,4,13,1,0,0,14,2,0,0,16,4,10,4,9,4,0,0,16,4,4
5,5,2,1,1,0,4,3,1,2,1,12,2,0,0,0,0,14,4,13,4,10,4,9,4,16,4,13,4,0
5,5,2,1,1,0,4,4,1,2,4,13,1,0,0,14,2,0,0,0,0,0,0,0,0,0,0,14,2,0
5,5,2,1,1,0,4,4,1,2,1,12,2,0,0,0,0,14,4,0,0,14,2,0,0,0,0,12,2,0
5,5,2,1,1,0,4,4,1,2,2,0,0,0,0,11,3,12,4,0,0,14,2,12,2,0,0,12,4,2
5,5,2,1,1,0,4,4,1,3,3,0,0,10,1,0,0,9,3,0,0,14,2,12,2,12,4,9,3,0
5,5,2,1,1,0,4,5,1,3,2,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,11,3,0
5,5,2,1,1,0,4,5,1,3,3,0,0,10,1,0,0,0,0,0,0,11,3,0,0,0,0,10,1,0
5,5,2,1,1,0,4,5,1,3,4,13,1,0,0,0,0,0,0,0,0,11,3,10,1,0,0,13,1,0
5,6,2,1,1,0,4,5,2,3,1,0,0,0,0,0,0,14,4,0,0,11,3,10,1,13,1,14,4,1
6,6,2,2,3,0,2,1,0,0,3,14,2,13,2,16,2,10,2,12,3,0,0,0,0,0,0,10,2,0
6,6,2,2,3,0,2,1,0,0,4,12,1,11,1,13,3,14,4,10,4,10,2,0,0,0,0,11,1,4
6,6,2,2,3,0,2,1,0,0,1,14,1,10,1,14,3,15,4,9,4,10,2,11,1,0,0,9,4,0
6,6,2,2,3,0,2,1,0,1,2,9,1,9,2,10,3,9,3,13,4,10,2,11,1,9,4,9,2,0
6,6,2,2,3,0,2,2,0,1,4,12,1,0,0,13,3,14,4,10,4,0,0,0,0,0,0,14,4,0
6,6,2,2,3,0,2,2,0,1,1,14,1,10,1,14,3,15,4,0,0,14,4,0,0,0,0,15,4,0
6,6,2,2,3,0,2,2,0,1,2,9,1,0,0,10,3,9,3,13,4,14,4,15,4,0,0,13,4,0
6,6,2,2,3,0,2,2,1,1,3,14,2,13,2,16,2,0,0,12,3,14,4,15,4,13,4,13,2,3
6,6,2,2,3,0,2,3,1,1,3,14,2,0,0,16,2,0,0,12,3,0,0,0,0,0,0,12,3,0
6,6,2,2,3,0,2,3,1,1,4,12,1,0,0,13,3,0,0,10,4,12,3,0,0,0,0,13,3,0
6,6,2,2,3,0,2,3,1,1,1,14,1,10,1,14,3,0,0,0,0,12,3,13,3,0,0,14,3,1
6,6,2,2,3,0,2,3,2,1,2,9,1,0,0,10,3,9,3,0,0,12,3,13,3,14,3,9,3,0
6,6,2,2,3,0,2,4,2,1,1,14,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
6,6,2,2,3,0,2,4,2,1,2,9,1,0,0,10,3,0,0,0,0,14,1,0,0,0,0,9,1,0
6,6,2,2,3,0,2,4,2,1,3,14,2,0,0,16,2,0,0,0,0,14,1,9,1,0,0,14,2,3
6,6,2,2,3,0,2,4,3,1,4,12,1,0,0,0,0,0,0,10,4,14,1,9,1,14,2,10,4,0
6,6,2,2,3,0,2,5,3,1,3,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,16,2,3
6,6,2,2,3,0,2,5,3,1,4,12,1,0,0,0,0,0,0,0,0,16,2,0,0,0,0,12,1,0
6,6,2,2,3,0,2,5,3,1,1,0,0,10,1,0,0,0,0,0,0,16,2,12,1,0,0,10,1,0
6,7,2,2,3,0,2,5,4,1,2,0,0,0,0,10,3,0,0,0,0,16,2,12,1,10,1,10,3,0
7,7,2,3,1,0,4,1,0,0,4,9,1,13,2,9,2,12,4,9,4,0,0,0,0,0,0,9,1,0
7,7,2,3,1,0,4,1,0,0,1,11,1,10,2,11,3,9,3,16,4,9,1,0,0,0,0,11,1,0
7,7,2,3,1,0,4,1,0,0,2,13,1,10,1,13,3,10,3,13,4,9,1,11,1,0,0,13,1,0
7,7,2,3,1,0,4,1,1,0,3,14,2,12,2,14,3,14,4,10,4,9,1,11,1,13,1,10,4,3
7,7,2,3,1,0,4,2,1,0,3,14,2,12,2,14,3,14,4,0,0,0,0,0,0,0,0,12,2,0
7,7,2,3,1,0,4,2,1,0,4,0,0,13,2,9,2,12,4,9,4,12,2,0,0,0,0,13,2,4
7,7,2,3,1,0,4,2,1,0,1,0,0,10,2,11,3,9,3,16,4,12,2,13,2,0,0,10,2,0
7,7,2,3,1,0,4,2,1,1,2,0,0,10,1,13,3,10,3,13,4,12,2,13,2,10,2,10,1,0
7,7,2,3,1,0,4,3,1,1,4,0,0,0,0,9,2,12,4,9,4,0,0,0,0,0,0,9,2,0
7,7,2,3,1,0,4,3,1,1,1,0,0,0,0,11,3,9,3,16,4,9,2,0,0,0,0,9,3,0
7,7,2,3,1,0,4,3,1,1,2,0,0,0,0,13,3,10,3,13,4,9,2,9,3,0,0,10,3,0
7,7,2,3,1,0,4,3,2,1,3,14,2,0,0,14,3,14,4,0,0,9,2,9,3,10,3,14,4,3
7,7,2,3,1,0,4,4,2,1,3,14,2,0,0,14,3,0,0,0,0,0,0,0,0,0,0,14,2,0
7,7,2,3,1,0,4,4,2,1,4,0,0,0,0,0,0,12,4,9,4,14,2,0,0,0,0,9,4,0
7,7,2,3,1,0,4,4,2,1,1,0,0,0,0,11,3,0,0,16,4,14,2,9,4,0,0,11,3,1
7,7,2,3,1,0,4,4,3,1,2,0,0,0,0,13,3,0,0,13,4,14,2,9,4,11,3,13,3,0
7,7,2,3,1,0,4,5,3,1,1,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,16,4,1
7,7,2,3,1,0,4,5,3,1,2,0,0,0,0,0,0,0,0,13,4,16,4,0,0,0,0,13,4,0
7,7,2,3,1,0,4,5,3,1,3,0,0,0,0,14,3,0,0,0,0,16,4,13,4,0,0,14,3,0
7,8,2,3,1,0,4,5,4,1,4,0,0,0,0,0,0,12,4,0,0,16,4,13,4,14,3,12,4,0
8,8,2,4,3,0,1,1,0,0,1,14,2,13,2,12,2,13,4,10,4,0,0,0,0,0,0,12,2,0
8,8,2,4,3,0,1,1,0,0,2,10,1,14,2,13,3,9,3,14,4,12,2,0,0,0,0,14,2,0
8,8,2,4,3,0,1,1,0,0,3,13,1,16,1,11,2,14,3,15,3,12,2,14,2,0,0,11,2,3
8,8,2,4,3,0,1,1,1,0,4,14,1,9,1,12,3,10,3,11,4,12,2,14,2,11,2,11,4,0
8,8,2,4,3,0,1,2,1,0,3,13,1,16,1,0,0,14,3,15,3,0,0,0,0,0,0,15,3,0
8,8,2,4,3,0,1,2,1,0,4,14,1,9,1,12,3,10,3,0,0,15,3,0,0,0,0,12,3,4
8,8,2,4,3,0,1,2,1,0,1,14,2,13,2,0,0,13,4,10,4,15,3,12,3,0,0,10,4,0
8,8,2,4,3,0,1,2,1,1,2,10,1,0,0,13,3,9,3,14,4,15,3,12,3,10,4,9,3,0
8,8,2,4,3,0,1,3,1,1,4,14,1,9,1,0,0,10,3,0,0,0,0,0,0,0,0,10,3,0
8,8,2,4,3,0,1,3,1,1,1,14,2,13,2,0,0,13,4,0,0,10,3,0,0,0,0,13,2,0
8,8,2,4,3,0,1,3,1,1,2,10,1,0,0,13,3,0,0,14,4,10,3,13,2,0,0,13,3,0
8,8,2,4,3,0,1,3,2,1,3,13,1,16,1,0,0,14,3,0,0,10,3,13,2,13,3,14,3,3
8,8,2,4,3,0,1,4,2,1,3,13,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
8,8,2,4,3,0,1,4,2,1,4,14,1,9,1,0,0,0,0,0,0,13,1,0,0,0,0,14,1,4
8,8,2,4,3,0,1,4,2,1,1,14,2,0,0,0,0,13,4,0,0,13,1,14,1,0,0,13,4,0
8,8,2,4,3,0,1,4,2,2,2,10,1,0,0,0,0,0,0,14,4,13,1,14,1,13,4,10,1,0
8,8,2,4,3,0,1,5,2,2,4,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
8,8,2,4,3,0,1,5,2,2,1,0,0,0,0,0,0,13,4,0,0,9,1,0,0,0,0,14,2,0
8,8,2,4,3,0,1,5,2,2,2,10,1,0,0,0,0,0,0,0,0,9,1,14,2,0,0,14,4,0
8,9,2,4,3,0,1,5,3,2,3,0,0,16,1,0,0,0,0,0,0,9,1,14,2,14,4,16,1,0
9,9,2,1,2,0,1,1,0,0,2,14,1,12,1,10,1,11,2,10,3,0,0,0,0,0,0,10,3,0
9,9,2,1,2,0,1,1,0,0,3,16,1,14,3,12,4,11,4,9,4,10,3,0,0,0,0,14,3,3
9,9,2,1,2,0,1,1,0,0,4,13,1,10,2,13,3,14,4,13,4,10,3,14,3,0,0,13,3,0
9,9,2,1,2,0,1,1,1,0,1,9,1,12,2,9,2,12,3,15,3,10,3,14,3,13,3,15,3,0
9,9,2,1,2,0,1,2,1,0,3,16,1,0,0,12,4,11,4,9,4,0,0,0,0,0,0,9,4,0
9,9,2,1,2,0,1,2,1,0,4,13,1,10,2,0,0,14,4,13,4,9,4,0,0,0,0,14,4,0
9,9,2,1,2,0,1,2,1,0,1,9,1,12,2,9,2,12,3,0,0,9,4,14,4,0,0,9,1,0
9,9,2,1,2,0,1,2,1,1,2,14,1,12,1,10,1,11,2,0,0,9,4,14,4,9,1,10,1,2
9,9,2,1,2,0,1,3,1,1,2,14,1,12,1,0,0,11,2,0,0,0,0,0,0,0,0,12,1,0
9,9,2,1,2,0,1,3,1,1,3,16,1,0,0,12,4,11,4,0,0,12,1,0,0,0,0,16,1,3
9,9,2,1,2,0,1,3,1,1,4,13,1,10,2,0,0,0,0,13,4,12,1,16,1,0,0,13,1,0
9,9,2,1,2,0,1,3,2,1,1,0,0,12,2,9,2,12,3,0,0,12,1,16,1,13,1,9,2,0
9,9,2,1,2,0,1,4,2,1,3,0,0,0,0,12,4,11,4,0,0,0,0,0,0,0,0,12,4,0
9,9,2,1,2,0,1,4,2,1,4,0,0,10,2,0,0,0,0,13,4,12,4,0,0,0,0,13,4,0
9,9,2,1,2,0,1,4,2,1,1,0,0,12,2,0,0,12,3,0,0,12,4,13,4,0,0,12,3,0
9,9,2,1,2,0,1,4,2,2,2,14,1,0,0,0,0,11,2,0,0,12,4,13,4,12,3,14,1,2
9,9,2,1,2,0,1,5,2,2,2,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,11,2,2
9,9,2,1,2,0,1,5,2,2,3,0,0,0,0,0,0,11,4,0,0,11,2,0,0,0,0,11,4,0
9,9,2,1,2,0,1,5,2,2,4,0,0,10,2,0,0,0,0,0,0,11,2,11,4,0,0,10,2,0
9,9,3,1,2,0,1,5,2,3,1,0,0,12,2,0,0,0,0,0,0,11,2,11,4,10,2,12,2,0
10,9,3,2,2,0,4,1,0,0,3,14,1,12,2,11,2,10,2,14,4,0,0,0,0,0,0,10,2,0
10,9,3,2,2,0,4,1,0,0,4,10,1,14,2,14,3,12,3,13,4,10,2,0,0,0,0,14,2,4
10,9,3,2,2,0,4,1,0,0,1,13,2,9,2,13,3,11,3,10,4,10,2,14,2,0,0,9,2,0
10,9,3,2,2,0,4,1,0,1,2,13,1,11,1,9,3,12,4,16,4,10,2,14,2,9,2,9,3,0
10,9,3,2,2,0,4,2,0,1,4,10,1,0,0,14,3,12,3,13,4,0,0,0,0,0,0,10,1,0
10,9,3,2,2,0,4,2,0,1,1,13,2,0,0,13,3,11,3,10,4,10,1,0,0,0,0,10,4,1
10,9,3,2,2,0,4,2,0,1,2,13,1,11,1,0,0,12,4,16,4,10,1,10,4,0,0,11,1,0
10,9,3,2,2,0,4,2,1,1,3,14,1,12,2,11,2,0,0,14,4,10,1,10,4,11,1,14,1,0
10,9,3,2,2,0,4,3,1,1,1,13,2,0,0,13,3,11,3,0,0,0,0,0,0,0,0,13,3,0
10,9,3,2,2,0,4,3,1,1,2,13,1,0,0,0,0,12,4,16,4,13,3,0,0,0,0,12,4,0
10,9,3,2,2,0,4,3,1,1,3,0,0,12,2,11,2,0,0,14,4,13,3,12,4,0,0,14,4,3
10,9,3,2,2,0,4,3,2,1,4,0,0,0,0,14,3,12,3,13,4,13,3,12,4,14,4,12,3,0
10,9,3,2,2,0,4,4,2,1,3,0,0,12,2,11,2,0,0,0,0,0,0,0,0,0,0,11,2,0
10,9,3,2,2,0,4,4,2,1,4,0,0,0,0,14,3,0,0,13,4,11,2,0,0,0,0,13,4,4
10,9,3,2,2,0,4,4,2,1,1,13,2,0,0,0,0,11,3,0,0,11,2,13,4,0,0,13,2,0
10,9,3,2,2,0,4,4,2,2,2,13,1,0,0,0,0,0,0,16,4,11,2,13,4,13,2,13,1,0
10,9,3,2,2,0,4,5,2,2,4,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,14,3,0
10,9,3,2,2,0,4,5,2,2,1,0,0,0,0,0,0,11,3,0,0,14,3,0,0,0,0,11,3,0
10,9,3,2,2,0,4,5,2,2,2,0,0,0,0,0,0,0,0,16,4,14,3,11,3,0,0,16,4,2
10,9,4,2,2,0,4,5,2,3,3,0,0,12,2,0,0,0,0,0,0,14,3,11,3,16,4,12,2,0
11,9,4,3,1,0,4,1,0,0,4,14,1,11,1,11,3,9,3,14,4,0,0,0,0,0,0,9,3,0
11,9,4,3,1,0,4,1,0,0,1,12,1,9,2,16,4,10,4,9,4,9,3,0,0,0,0,9,4,1
11,9,4,3,1,0,4,1,0,0,2,9,1,11,2,10,2,12,3,13,4,9,3,9,4,0,0,12,3,0
11,9,4,3,1,0,4,1,1,0,3,13,2,12,2,14,3,13,3,10,3,9,3,9,4,12,3,10,3,0
11,9,4,3,1,0,4,2,1,0,1,12,1,9,2,16,4,10,4,0,0,0,0,0,0,0,0,16,4,1
11,9,4,3,1,0,4,2,1,0,2,9,1,11,2,10,2,0,0,13,4,16,4,0,0,0,0,13,4,0
11,9,4,3,1,0,4,2,1,0,3,13,2,12,2,14,3,13,3,0,0,16,4,13,4,0,0,12,2,0
11,9,4,3,1,0,4,2,2,0,4,14,1,11,1,11,3,0,0,14,4,16,4,13,4,12,2,14,4,0
11,9,4,3,1,0,4,3,2,0,1,12,1,9,2,0,0,10,4,0,0,0,0,0,0,0,0,9,2,0
11,9,4,3,1,0,4,3,2,0,2,9,1,11,2,10,2,0,0,0,0,9,2,0,0,0,0,10,2,0
11,9,4,3,1,0,4,3,2,0,3,13,2,0,0,14,3,13,3,0,0,9,2,10,2,0,0,13,2,0
11,9,4,3,1,0,4,3,2,1,4,14,1,11,1,11,3,0,0,0,0,9,2,10,2,13,2,11,3,4
11,9,4,3,1,0,4,4,2,1,4,14,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,4
11,9,4,3,1,0,4,4,2,1,1,12,1,0,0,0,0,10,4,0,0,14,1,0,0,0,0,12,1,0
11,9,4,3,1,0,4,4,2,1,2,9,1,11,2,0,0,0,0,0,0,14,1,12,1,0,0,9,1,0
11,9,4,3,1,0,4,4,2,2,3,0,0,0,0,14,3,13,3,0,0,14,1,12,1,9,1,13,3,0
11,9,4,3,1,0,4,5,2,2,4,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
11,9,4,3,1,0,4,5,2,2,1,0,0,0,0,0,0,10,4,0,0,11,1,0,0,0,0,10,4,1
11,9,4,3,1,0,4,5,2,2,2,0,0,11,2,0,0,0,0,0,0,11,1,10,4,0,0,11,2,0
11,10,4,3,1,0,4,5,3,2,3,0,0,0,0,14,3,0,0,0,0,11,1,10,4,11,2,14,3,0
